Propofol	Remifentanil	Algometry	Tetany	Sedation	Laryingoscopy
0	0	0	0	0	0
0	0.1	5.65597E-17	9.6384E-15	0	0
0	0.138709199	8.44859E-16	7.9588E-14	0	0
0	0.192402418	1.31039E-14	5.27989E-13	0	0
0	0.266879853	2.07499E-13	3.94023E-12	0	0
0	0.370186906	2.55813E-12	2.9421E-11	0	0
0	0.513483291	5.35093E-11	1.99193E-10	0	0
0	0.712248558	7.41651E-10	1.33724E-09	0	0
0	0.987954269	1.34527E-08	9.87434E-09	0	0
0	1.370383451	1.97007E-07	8.05791E-08	0	0
0	1.900847905	2.39493E-06	5.39204E-07	0	0
0	2.636650899	4.38423E-05	3.88677E-06	0	0
0	3.657277336	0.00056733	2.79437E-05	0	0
0	5.072980091	0.008643053	0.000199928	0	0
0	7.036690038	0.125123846	0.001198481	0	0
0	9.760536373	0.593583908	0.011459623	0	0
0	13.5387618	0.861334368	0.060915243	0	0
0	18.77950802	1.012956288	0.320917592	1	0
0	26.04890511	0.870221334	0.654018261	1	0
0	36.13222757	0.841292575	1.06385433	1	0
0	50.11872336	1.141763735	1.051012142	1	1
0.1	0	3.46498E-14	1.11882E-10	0	0
0.1	0.1	1.4516E-12	5.21282E-10	0	0
0.1	0.138709199	4.07832E-12	8.72763E-10	0	0
0.1	0.192402418	1.42267E-11	1.55014E-09	0	0
0.1	0.266879853	7.48964E-11	2.41092E-09	0	0
0.1	0.370186906	4.41313E-10	8.05352E-09	0	0
0.1	0.513483291	2.49112E-09	2.36965E-08	0	0
0.1	0.712248558	2.60288E-08	8.68564E-08	0	0
0.1	0.987954269	1.7128E-07	3.21356E-07	0	0
0.1	1.370383451	1.84176E-06	1.5151E-06	0	0
0.1	1.900847905	2.40905E-05	7.54676E-06	0	0
0.1	2.636650899	0.000303654	4.00121E-05	0	0
0.1	3.657277336	0.004430245	0.000253241	0	0
0.1	5.072980091	0.058910201	0.001466186	0	0
0.1	7.036690038	0.419462115	0.010013666	0	0
0.1	9.760536373	1.010253178	0.054126099	0	0
0.1	13.5387618	1.063715822	0.337081571	1	0
0.1	18.77950802	0.854290334	0.673967015	1	0
0.1	26.04890511	1.058522412	0.923372566	1	0
0.1	36.13222757	1.107721898	0.845326936	1	1
0.1	50.11872336	0.898173752	0.934327229	1	1
0.125892541	0	2.02321E-13	4.92311E-10	0	0
0.125892541	0.1	5.7418E-12	1.65935E-09	0	0
0.125892541	0.138709199	1.67709E-11	2.20873E-09	0	0
0.125892541	0.192402418	4.32312E-11	4.45953E-09	0	0
0.125892541	0.266879853	1.76137E-10	7.8622E-09	0	0
0.125892541	0.370186906	9.70461E-10	1.55358E-08	0	0
0.125892541	0.513483291	5.58984E-09	5.07644E-08	0	0
